Emp Id ,Emp Name,Cmp Name,Cmp Id,Designation,Department
610,Ramesh,Asus,40,HardearEngineer,IT
611,Rani,Asus,40,Softwareengineer,HR
612,Bhavesh,Asus,40,Systemsanalyst,Infrastructures
613,Bishnu,Asus,40,Technicalsupport,Researchanddevelopment
614,Chethan,Asus,40,Webdeveloper,Salesandmarketing
615,Ramesh,Asus,40,HardearEngineer,IT
616,Rani,Asus,40,Softwareengineer,HR
617,Bhavesh,Asus,40,Systemsanalyst,Infrastructures
618,Bishnu,Asus,40,Technicalsupport,Researchanddevelopment
619,Chethan,Asus,40,Webdeveloper,Salesandmarketing
620,Ramesh,Asus,40,HardearEngineer,IT
621,Rani,Asus,40,Softwareengineer,HR
622,Bhavesh,Asus,40,Systemsanalyst,Infrastructures
623,Bishnu,Asus,40,Technicalsupport,Researchanddevelopment
624,Chethan,Asus,40,Webdeveloper,Salesandmarketing
625,Ramesh,Asus,40,HardearEngineer,IT
626,Rani,Asus,40,Softwareengineer,HR
627,Bhavesh,Asus,40,Systemsanalyst,Infrastructures
628,Bishnu,Asus,40,Technicalsupport,Researchanddevelopment
629,Chethan,Asus,40,Webdeveloper,Salesandmarketing
630,Ramesh,Asus,40,HardearEngineer,IT
631,Rani,Asus,40,Softwareengineer,HR
632,Bhavesh,Asus,40,Systemsanalyst,Infrastructures
633,Bishnu,Asus,40,Technicalsupport,Researchanddevelopment
634,Chethan,Asus,40,Webdeveloper,Salesandmarketing
635,Ramesh,Asus,40,HardearEngineer,IT
636,Rani,Asus,40,Softwareengineer,HR
637,Bhavesh,Asus,40,Systemsanalyst,Infrastructures
638,Bishnu,Asus,40,Technicalsupport,Researchanddevelopment
639,Chethan,Asus,40,Webdeveloper,Salesandmarketing
640,Ramesh,Asus,40,HardearEngineer,IT
641,Rani,Asus,40,Softwareengineer,HR
642,Bhavesh,Asus,40,Systemsanalyst,Infrastructures
643,Bishnu,Asus,40,Technicalsupport,Researchanddevelopment
644,Chethan,Asus,40,Webdeveloper,Salesandmarketing
645,Ramesh,Asus,40,HardearEngineer,IT
646,Rani,Asus,40,Softwareengineer,HR
647,Bhavesh,Asus,40,Systemsanalyst,Infrastructures
648,Bishnu,Asus,40,Technicalsupport,Researchanddevelopment
649,Chethan,Asus,40,Webdeveloper,Salesandmarketing
650,Ramesh,Asus,40,HardearEngineer,IT
651,Rani,Asus,40,Softwareengineer,HR
652,Bhavesh,Asus,40,Systemsanalyst,Infrastructures
653,Bishnu,Asus,40,Technicalsupport,Researchanddevelopment
654,Chethan,Asus,40,Webdeveloper,Salesandmarketing
655,Ramesh,Asus,40,HardearEngineer,IT
656,Rani,Asus,40,Softwareengineer,HR
657,Bhavesh,Asus,40,Systemsanalyst,Infrastructures
658,Bishnu,Asus,40,Technicalsupport,Researchanddevelopment
659,Chethan,Asus,40,Webdeveloper,Salesandmarketing
660,Ramesh,Asus,40,HardearEngineer,IT
661,Rani,Asus,40,Softwareengineer,HR
662,Bhavesh,Asus,40,Systemsanalyst,Infrastructures
663,Bishnu,Asus,40,Technicalsupport,Researchanddevelopment
664,Chethan,Asus,40,Webdeveloper,Salesandmarketing
665,Ramesh,Asus,40,HardearEngineer,IT
666,Rani,Asus,40,Softwareengineer,HR
667,Bhavesh,Asus,40,Systemsanalyst,Infrastructures
668,Bishnu,Asus,40,Technicalsupport,Researchanddevelopment
669,Chethan,Asus,40,Webdeveloper,Salesandmarketing
670,Ramesh,Asus,40,HardearEngineer,IT
671,Rani,Asus,40,Softwareengineer,HR
672,Bhavesh,Asus,40,Systemsanalyst,Infrastructures
673,Bishnu,Asus,40,Technicalsupport,Researchanddevelopment
674,Chethan,Asus,40,Webdeveloper,Salesandmarketing
675,Ramesh,Asus,40,HardearEngineer,IT
676,Rani,Asus,40,Softwareengineer,HR
677,Bhavesh,Asus,40,Systemsanalyst,Infrastructures
678,Bishnu,Asus,40,Technicalsupport,Researchanddevelopment
679,Chethan,Asus,40,Webdeveloper,Salesandmarketing
680,Ramesh,Asus,40,HardearEngineer,IT
681,Rani,Asus,40,Softwareengineer,HR
682,Bhavesh,Asus,40,Systemsanalyst,Infrastructures
683,Bishnu,Asus,40,Technicalsupport,Researchanddevelopment
