Emp Id,Emp Name,Cmp Name,Cmp Id,Designation,Department
210,Ramesh,Lenovo,20,HardearEngineer,IT
211,Rani,Lenovo,20,Softwareengineer,HR
212,Bhavesh,Lenovo,20,Systemsanalyst,Infrastructures
213,Bishnu,Lenovo,20,Technicalsupport,Researchanddevelopment
214,Chethan,Lenovo,20,Webdeveloper,Salesandmarketing
215,Ramesh,Lenovo,20,HardearEngineer,IT
216,Rani,Lenovo,20,Softwareengineer,HR
217,Bhavesh,Lenovo,20,Systemsanalyst,Infrastructures
218,Bishnu,Lenovo,20,Technicalsupport,Researchanddevelopment
219,Chethan,Lenovo,20,Webdeveloper,Salesandmarketing
220,Ramesh,Lenovo,20,HardearEngineer,IT
221,Rani,Lenovo,20,Softwareengineer,HR
222,Bhavesh,Lenovo,20,Systemsanalyst,Infrastructures
223,Bishnu,Lenovo,20,Technicalsupport,Researchanddevelopment
224,Chethan,Lenovo,20,Webdeveloper,Salesandmarketing
225,Ramesh,Lenovo,20,HardearEngineer,IT
226,Rani,Lenovo,20,Softwareengineer,HR
227,Bhavesh,Lenovo,20,Systemsanalyst,Infrastructures
228,Bishnu,Lenovo,20,Technicalsupport,Researchanddevelopment
229,Chethan,Lenovo,20,Webdeveloper,Salesandmarketing
230,Ramesh,Lenovo,20,HardearEngineer,IT
231,Rani,Lenovo,20,Softwareengineer,HR
232,Bhavesh,Lenovo,20,Systemsanalyst,Infrastructures
233,Bishnu,Lenovo,20,Technicalsupport,Researchanddevelopment
234,Chethan,Lenovo,20,Webdeveloper,Salesandmarketing
235,Ramesh,Lenovo,20,HardearEngineer,IT
236,Rani,Lenovo,20,Softwareengineer,HR
237,Bhavesh,Lenovo,20,Systemsanalyst,Infrastructures
238,Bishnu,Lenovo,20,Technicalsupport,Researchanddevelopment
239,Chethan,Lenovo,20,Webdeveloper,Salesandmarketing
240,Ramesh,Lenovo,20,HardearEngineer,IT
241,Rani,Lenovo,20,Softwareengineer,HR
242,Bhavesh,Lenovo,20,Systemsanalyst,Infrastructures
243,Bishnu,Lenovo,20,Technicalsupport,Researchanddevelopment
244,Chethan,Lenovo,20,Webdeveloper,Salesandmarketing
245,Ramesh,Lenovo,20,HardearEngineer,IT
246,Rani,Lenovo,20,Softwareengineer,HR
247,Bhavesh,Lenovo,20,Systemsanalyst,Infrastructures
248,Bishnu,Lenovo,20,Technicalsupport,Researchanddevelopment
249,Chethan,Lenovo,20,Webdeveloper,Salesandmarketing
250,Ramesh,Lenovo,20,HardearEngineer,IT
251,Rani,Lenovo,20,Softwareengineer,HR
252,Bhavesh,Lenovo,20,Systemsanalyst,Infrastructures
253,Bishnu,Lenovo,20,Technicalsupport,Researchanddevelopment
254,Chethan,Lenovo,20,Webdeveloper,Salesandmarketing
255,Ramesh,Lenovo,20,HardearEngineer,IT
256,Rani,Lenovo,20,Softwareengineer,HR
257,Bhavesh,Lenovo,20,Systemsanalyst,Infrastructures
258,Bishnu,Lenovo,20,Technicalsupport,Researchanddevelopment
259,Chethan,Lenovo,20,Webdeveloper,Salesandmarketing
260,Ramesh,Lenovo,20,HardearEngineer,IT
261,Rani,Lenovo,20,Softwareengineer,HR
262,Bhavesh,Lenovo,20,Systemsanalyst,Infrastructures
263,Bishnu,Lenovo,20,Technicalsupport,Researchanddevelopment
264,Chethan,Lenovo,20,Webdeveloper,Salesandmarketing
265,Ramesh,Lenovo,20,HardearEngineer,IT
266,Rani,Lenovo,20,Softwareengineer,HR
267,Bhavesh,Lenovo,20,Systemsanalyst,Infrastructures
268,Bishnu,Lenovo,20,Technicalsupport,Researchanddevelopment
269,Chethan,Lenovo,20,Webdeveloper,Salesandmarketing
270,Ramesh,Lenovo,20,HardearEngineer,IT
271,Rani,Lenovo,20,Softwareengineer,HR
272,Bhavesh,Lenovo,20,Systemsanalyst,Infrastructures
273,Bishnu,Lenovo,20,Technicalsupport,Researchanddevelopment
274,Chethan,Lenovo,20,Webdeveloper,Salesandmarketing
275,Ramesh,Lenovo,20,HardearEngineer,IT
276,Rani,Lenovo,20,Softwareengineer,HR
277,Bhavesh,Lenovo,20,Systemsanalyst,Infrastructures
278,Bishnu,Lenovo,20,Technicalsupport,Researchanddevelopment
279,Chethan,Lenovo,20,Webdeveloper,Salesandmarketing
280,Ramesh,Lenovo,20,HardearEngineer,IT
281,Rani,Lenovo,20,Softwareengineer,HR
282,Bhavesh,Lenovo,20,Systemsanalyst,Infrastructures
283,Bishnu,Lenovo,20,Technicalsupport,Researchanddevelopment
284,Chethan,Lenovo,20,Webdeveloper,Salesandmarketing
285,Ramesh,Lenovo,20,HardearEngineer,IT
286,Rani,Lenovo,20,Softwareengineer,HR
287,Bhavesh,Lenovo,20,Systemsanalyst,Infrastructures
288,Bishnu,Lenovo,20,Technicalsupport,Researchanddevelopment
289,Chethan,Lenovo,20,Webdeveloper,Salesandmarketing
